0	3	267 335 67 51	530 323 85 63	389 325 59 44
1	3	528 324 88 66	267 336 67 50	389 325 61 45
2	3	533 324 83 62	269 335 65 49	388 323 64 48
3	3	532 322 86 64	268 334 67 50	387 325 57 43
4	3	268 334 66 49	535 322 84 63	386 320 66 49
5	3	528 317 95 71	267 332 68 51	388 321 61 46
6	3	533 320 87 65	267 332 67 51	387 321 61 45
7	3	534 319 87 65	267 332 67 50	388 321 60 45
8	3	536 319 84 63	266 331 68 51	388 321 61 46
9	3	532 317 93 69	268 333 65 48	387 321 62 46
10	3	535 317 88 66	268 333 64 48	387 321 61 45
11	3	538 319 85 64	385 319 65 48	266 332 66 50
12	3	539 318 86 65	386 322 61 46	267 333 65 49
13	3	539 318 88 66	266 332 66 49	385 321 62 46
14	3	541 320 86 64	387 323 58 44	266 332 66 49
15	3	539 318 89 66	264 333 67 51	385 321 62 46
16	3	540 320 87 65	265 333 66 50	386 322 60 45
17	3	541 320 87 65	265 332 65 49	385 323 60 45
18	3	543 321 84 63	263 332 67 50	381 320 64 48
19	3	543 320 85 64	383 321 60 45	263 332 68 51
20	3	542 320 85 64	263 334 66 50	384 323 59 44
21	3	542 320 86 64	262 332 66 50	381 321 63 47
22	3	540 319 90 67	261 335 64 48	378 323 60 45
23	3	543 322 85 64	259 334 67 50	376 321 64 48
24	3	546 323 83 62	259 335 67 51	380 325 58 43
25	3	257 333 69 52	544 323 84 63	379 324 58 44
26	3	542 319 88 66	377 322 63 47	259 335 64 48
27	3	545 322 84 63	258 334 65 49	375 322 63 47
28	3	543 320 88 66	258 334 65 49	376 323 60 44
29	3	542 320 91 68	257 333 66 50	376 322 61 46
30	3	546 320 84 63	257 333 66 50	376 321 60 45
31	3	543 318 92 69	256 330 70 52	375 321 61 46
32	3	546 317 86 64	255 330 69 51	375 320 61 45
33	3	548 317 85 64	374 316 68 51	257 332 65 48
34	3	549 318 83 62	377 320 58 44	257 332 64 48
35	3	552 317 80 60	257 330 65 49	377 318 62 47
36	3	546 315 90 68	256 327 69 52	378 317 62 46
37	3	553 316 81 61	257 327 69 52	378 318 60 45
38	3	557 317 80 60	256 326 68 51	378 318 59 44
39	3	556 314 83 62	257 326 70 53	379 316 62 47
40	3	554 314 87 65	379 316 62 47	256 326 70 53
41	3	558 316 81 61	259 328 65 49	380 316 59 44
42	3	558 315 83 62	258 328 66 50	380 317 60 45
43	3	559 316 82 61	259 326 68 51	379 315 61 46
44	3	563 316 78 58	259 328 66 50	380 316 60 45
45	3	258 327 67 50	564 317 77 58	380 316 59 44
46	3	562 315 82 61	259 328 66 50	379 315 61 46
47	3	561 316 82 61	378 315 63 47	260 331 60 45
48	3	561 315 81 61	258 327 67 50	380 319 61 46
49	3	562 315 83 62	259 328 65 49	379 319 62 46
50	3	560 314 86 64	258 327 67 51	381 319 58 43
51	3	560 314 88 66	378 317 63 47	258 330 63 47
52	3	563 316 83 62	259 327 65 49	381 320 59 44
53	3	257 326 68 51	564 315 79 59	379 317 64 48
54	3	565 316 79 59	257 327 68 51	380 318 61 46
55	3	565 317 81 60	377 315 65 49	258 329 63 47
56	3	562 314 83 62	259 329 62 46	380 319 59 44
57	3	562 316 83 62	258 327 66 49	377 316 63 48
58	3	564 315 81 60	378 317 63 48	259 330 62 47
59	3	566 316 78 59	377 316 64 48	259 330 62 47
60	3	560 314 85 63	378 318 62 46	259 330 63 47
61	3	566 317 77 58	258 329 62 46	379 317 62 46
62	3	565 316 80 60	258 328 64 48	379 317 61 46
63	3	563 314 83 62	258 329 61 46	380 318 60 45
64	3	562 314 85 64	377 315 62 47	258 328 61 46
65	3	563 314 80 60	375 312 66 50	258 328 62 46
66	3	562 313 83 62	376 315 62 47	257 329 60 45
67	3	565 313 79 59	374 312 68 51	256 327 64 48
68	3	564 314 79 59	376 317 60 45	256 329 62 46
69	3	381 322 55 41	562 313 82 61	256 329 62 46
70	3	564 313 80 60	374 314 66 50	255 329 62 47
71	3	253 329 64 48	565 315 79 59	375 316 63 48
72	3	255 329 65 49	567 316 76 57	375 319 62 47
73	3	563 315 80 60	254 329 65 48	374 318 63 48
74	3	566 317 77 58	375 317 64 48	254 330 64 48
75	3	564 317 77 58	374 318 63 48	254 331 64 48
76	3	566 317 76 57	372 317 65 49	254 330 64 48
77	3	564 316 77 58	373 317 63 47	254 330 63 47
78	3	565 316 76 57	374 317 62 46	253 330 64 48
79	3	561 315 81 61	254 329 63 47	375 318 61 46
80	3	560 314 79 59	251 332 59 45	371 315 65 48
81	3	561 315 79 59	371 314 66 50	253 330 60 45
82	3	561 315 79 59	370 314 68 51	252 330 61 46
83	3	561 315 78 58	373 316 63 47	251 331 62 46
84	3	559 313 81 60	371 314 65 49	252 330 62 47
85	3	560 315 79 59	372 317 63 48	252 332 59 44
86	3	559 316 78 58	372 318 63 48	252 331 61 46
87	3	561 317 76 57	372 318 63 48	252 332 60 45
88	3	562 319 75 56	251 334 59 44	373 321 60 46
